Vernier Format 2
Unbenannt.cmbl 09.02.2026 18:05:36 .
Aktuell
Wellenlänge	Intensität
λ	I
nm	rel

240.4	0.0158227579834
241.1	0.0159660232446
241.7	0.0153031035155
242.3	0.0149360392665
243	0.014743606046
243.6	0.0148919576477
244.2	0.0143960394361
244.9	0.0142680331968
245.5	0.0141544382561
246.1	0.0146986767037
246.8	0.01563456338
247.4	0.0163254579826
248	0.0158710782194
248.7	0.0156515178488
249.3	0.0156252384222
249.9	0.0155023185236
250.6	0.0150377660792
251.2	0.0149877503963
251.8	0.0155438569721
252.4	0.0158507328569
253.1	0.0157888490459
253.7	0.0154022871578
254.3	0.0154684095861
255	0.0149190847978
255.6	0.0151623814247
256.2	0.0149529937353
256.9	0.0152869967702
257.5	0.0150750659105
258.1	0.0144070598408
258.8	0.0138568873291
259.4	0.0139365733323
260	0.0151488178497
260.7	0.0154955367361
261.3	0.0152149402779
261.9	0.0151979858091
262.6	0.0149072166696
263.2	0.0150928681027
263.8	0.0141086611904
264.5	0.0144189279689
265.1	0.015103040784
265.7	0.0153599009859
266.4	0.0151505132965
267	0.0149326483728
267.6	0.0157430719802
268.3	0.0160465569713
268.9	0.0166001203767
269.5	0.0154879072251
270.2	0.0152573264498
270.8	0.0151479701262
271.4	0.0154921458423
272.1	0.0155557251002
272.7	0.0143036375813
273.3	0.0145867772098
274	0.0148792417962
274.6	0.0149657095869
275.2	0.0149699482041
275.8	0.0146308588286
276.5	0.0150394615261
277.1	0.0141256156591
277.8	0.0141595245967
278.4	0.0146088180192
279	0.0148071853039
279.7	0.0151055839543
280.3	0.0156616905301
280.9	0.0155099480346
281.6	0.0159244847961
282.2	0.0158032603443
282.8	0.0164975458406
283.5	0.0159177030086
284.1	0.0155438569721
284.7	0.0150988021668
285.4	0.0153777031781
286	0.015545552419
286.7	0.0164110780499
287.3	0.0166119885049
287.9	0.0166806541034
288.6	0.015787153599
289.2	0.0157507014911
289.8	0.0149072166696
290.5	0.0150284411214
291.1	0.0142731195375
291.7	0.0148283783898
292.4	0.0149394301603
293	0.0155981112722
293.6	0.0155438569721
294.3	0.0154921458423
294.9	0.0148546578164
295.6	0.014875003179
296.2	0.0150801522511
296.8	0.0154506073938
297.5	0.0152768240889
298.1	0.014451989183
298.7	0.0150411569729
299.4	0.01469528581
300	0.0149979230776
300.6	0.0149945321838
301.3	0.0155497910362
301.9	0.0160084094165
302.5	0.0157854581521
303.2	0.0157057721489
303.8	0.0152954740046
304.5	0.0152903876639
305.1	0.0149996185245
305.7	0.0155582682706
306.4	0.0158871849648
307	0.0156972949145
307.6	0.0151691632122
308.3	0.0151479701262
308.9	0.0155633546112
309.5	0.0158753168366
310.2	0.0156108271238
310.8	0.0160626637166
311.4	0.016658613294
312.1	0.0169103871553
312.7	0.0163076557904
313.4	0.0157456151505
314	0.0157812195349
314.6	0.0171748768682
315.3	0.0173885031747
315.9	0.0172757559574
316.5	0.0163924281342
317.2	0.0169298847944
317.8	0.0166662428049
318.4	0.0161847358918
319.1	0.0158744691132
319.7	0.016478895925
320.3	0.0176784245908
321	0.0175546569687
321.6	0.0171596178463
322.3	0.0166518315065
322.9	0.0166628519112
323.5	0.0170680637149
324.2	0.0169570119444
324.8	0.0172918627027
325.4	0.0170290684367
326.1	0.0177470901893
326.7	0.0178708578113
327.3	0.017910700813
328	0.0181133067148
328.6	0.0184100099184
329.2	0.0182133380806
329.9	0.0180895704585
330.5	0.0180971999695
331.2	0.0188084399346
331.8	0.0182896331901
332.4	0.0183286284682
333.1	0.018270135551
333.7	0.018366776023
334.3	0.0183540601714
335	0.0183710146402
335.6	0.0178649237473
336.3	0.0184244212168
336.9	0.0187202766969
337.5	0.0202716105898
338.2	0.019887591872
338.8	0.0193738714682
339.4	0.0187058653985
340.1	0.0183752532574
340.7	0.0182574196994
341.4	0.0179463051974
342	0.0182506379119
342.6	0.0190458024974
343.3	0.0189152530878
343.9	0.0190678433068
344.5	0.0186261793952
345.2	0.019023761688
345.8	0.0183311716386
346.4	0.0188220035096
347.1	0.0193230080618
347.7	0.0197511083984
348.4	0.0196222544357
349	0.0191314225647
349.6	0.0190008731551
350.3	0.0187847036783
350.9	0.0192585810805
351.5	0.019957105194
352.2	0.0201783610115
352.8	0.0200486593254
353.5	0.019611234031
354.1	0.0201410611802
354.7	0.0199028508939
355.4	0.0196485338623
356	0.0190263048583
356.6	0.0192636674211
357.3	0.020102065902
357.9	0.0197409357171
358.6	0.0189915481973
359.2	0.0190339343693
359.8	0.0196315793935
360.5	0.0196841382467
361.1	0.0188762578097
361.8	0.0186015954155
362.4	0.0193442011478
363	0.02021989946
363.7	0.0203292557836
364.3	0.0199520188534
365	0.0189932436442
365.6	0.0186948449938
366.3	0.0186533065453
366.9	0.0196909200342
367.6	0.0196171680951
368.2	0.0200817205395
368.9	0.0186744996312
369.5	0.0186821291422
370.2	0.0187711401033
370.8	0.0193374193603
371.4	0.02021989946
372.1	0.0197884082297
372.7	0.0205055822588
373.4	0.0197943422938
374	0.0196748132889
374.7	0.0196527724795
375.3	0.0195908886685
376	0.0196332748404
376.6	0.018471046006
377.3	0.0188398057018
377.9	0.0192314539305
378.6	0.0198053626985
379.2	0.0194577960886
379.9	0.0191602451616
380.5	0.0196298839467
381.1	0.0197324584827
381.8	0.0194111712995
382.4	0.0196570110967
383.1	0.0192763832727
383.7	0.0191653315023
384.4	0.0182650492103
385	0.0189788323457
385.7	0.0197477175046
386.3	0.0195968227326
387	0.0193289421259
387.6	0.0196587065436
388.3	0.0203843578071
388.9	0.0207565083967
389.6	0.0201529293083
390.2	0.0194408416198
390.8	0.0192017836101
391.5	0.0186346566296
392.1	0.0192416266117
392.8	0.0190661478599
393.4	0.0199113281283
394.1	0.0196909200342
394.7	0.0202139653959
395.4	0.0201919245865
396	0.0202504175038
396.7	0.020386053254
397.3	0.0194332121089
398	0.0192373879945
398.6	0.0181429770352
399.3	0.0187906377423
399.9	0.0187914854658
400.5	0.0194247348745
401.2	0.0187524901876
401.8	0.0188236989565
402.5	0.0190195230708
403.1	0.0197723014844
403.8	0.0196205589888
404.4	0.0196951586514
405.1	0.0193365716369
405.7	0.0198172308266
406.4	0.019804514975
407	0.0207310766935
407.7	0.0209489416173
408.3	0.0212880309928
409	0.0213473716335
409.6	0.0217458016497
410.2	0.0213219399303
410.9	0.0201775132881
411.5	0.0188525215534
412.2	0.0184134008121
412.8	0.0183650805761
413.5	0.0184744368997
414.1	0.0179403711333
414.8	0.0185414070514
415.4	0.0183625374058
416.1	0.0182548765291
416.7	0.0184269643871
417.4	0.0187855514017
418	0.0194137144698
418.7	0.019321312615
419.3	0.0191780473538
420	0.0188660851284
420.6	0.0181455202055
421.3	0.0186939972703
421.9	0.0186253316718
422.6	0.0184184871528
423.2	0.0177216584861
423.9	0.0181548451633
424.5	0.0180912659054
425.1	0.0178259284691
425.8	0.0179717369006
426.4	0.0180844841179
427.1	0.0183888168324
427.7	0.0183472783839
428.4	0.0186923018235
429	0.0193984554479
429.7	0.020074938752
430.3	0.0215830387494
431	0.0229139645482
431.6	0.0239295372278
432.3	0.0254266168205
432.9	0.0275077778626
433.6	0.0265422208659
434.2	0.0237438857947
434.9	0.0196493815858
435.5	0.0183031967651
436.2	0.0186956927172
436.8	0.0192119562914
437.5	0.0196468384154
438.1	0.0185049549435
438.8	0.0178250807457
439.4	0.0173664623653
440.1	0.0182497901884
440.7	0.0181514542696
441.3	0.0183303239151
442	0.0178267761925
442.6	0.0185447979451
443.3	0.0186744996312
443.9	0.0188550647237
444.6	0.0190212185177
445.2	0.0190890363928
445.9	0.020718360842
446.5	0.0203148444851
447.2	0.0205937454965
447.8	0.0192017836101
448.5	0.0197341539296
449.1	0.0193526783822
449.8	0.0194713596636
450.4	0.0184871527513
451.1	0.0182260539322
451.7	0.0176936836127
452.4	0.0181395861414
453	0.0177750650628
453.7	0.0177937149784
454.3	0.0180980476929
455	0.0183676237464
455.6	0.0184515483669
456.3	0.0187185812501
456.9	0.0190118935598
457.5	0.0186906063766
458.2	0.0179310461755
458.8	0.0178437306613
459.5	0.0179361325161
460.1	0.0183201512339
460.8	0.0181319566305
461.4	0.0184261166637
462.1	0.0184108576418
462.7	0.018989005027
463.4	0.0186066817561
464	0.0175148139671
464.7	0.017004484457
465.3	0.017605520375
466	0.0181438247586
466.6	0.0184947822622
467.3	0.0190653001365
467.9	0.0189898527504
468.6	0.0185626001373
469.2	0.0175139662437
469.9	0.0177275925502
470.5	0.0178971372379
471.1	0.0184990208794
471.8	0.0182930240838
472.4	0.0178869645567
473.1	0.0176606223985
473.7	0.0178038876597
474.4	0.0180590524147
475	0.017122318015
475.7	0.0172070903588
476.3	0.0168323965989
477	0.0173418783856
477.6	0.0174571687733
478.3	0.0178750964285
478.9	0.0185939659046
479.6	0.0186193976077
480.2	0.0189635733238
480.9	0.0210515161534
481.5	0.0244449530785
482.2	0.029216788315
482.8	0.0332214338394
483.5	0.0391300662072
484.1	0.0562439069878
484.8	0.0874596271712
485.4	0.101111365428
486	0.0806880123429
486.7	0.041802090486
487.3	0.0186100726499
488	0.016409382603
488.6	0.0176207793969
489.3	0.018643133864
489.9	0.0189220348753
490.6	0.0190847977756
491.2	0.0181319566305
491.8	0.0189508574723
492.5	0.0183845782152
493.1	0.0186058340327
493.8	0.0180370116053
494.4	0.0178649237473
495.1	0.0178377965972
495.7	0.0170366979477
496.4	0.0176301043548
497	0.0174368234107
497.7	0.0179335893458
498.3	0.0172342175089
498.9	0.0171613132932
499.6	0.0174232598357
500.2	0.018200622229
500.9	0.0180743114366
501.5	0.018152301993
502.2	0.0178225375753
502.8	0.0184303552809
503.5	0.0185202139654
504.1	0.0184481574731
504.8	0.0177860854675
505.4	0.0174207166654
506	0.0169722709663
506.7	0.0166653950815
507.3	0.0171799632088
508	0.0173384874918
508.6	0.0176419724829
509.3	0.0167942490442
509.9	0.0163246102591
510.6	0.0157447674271
511.2	0.0163949713046
511.9	0.0167620355535
512.5	0.0175199003077
513.1	0.0171079067165
513.8	0.0170519569696
514.4	0.0163144375779
515.1	0.0162873104278
515.7	0.0164271847952
516.4	0.0166323338674
517	0.0162966353857
517.7	0.0161169180167
518.3	0.0162474674262
519	0.0163508896857
519.6	0.016237294745
520.2	0.0160753795682
520.9	0.0159465256055
521.5	0.0166552224002
522.2	0.017481752753
522.8	0.0182574196994
523.5	0.0183209989573
524.1	0.0178530556191
524.8	0.0174656460076
525.4	0.0170909522477
526.1	0.0163059603435
526.7	0.0164882208828
527.3	0.0173927417919
528	0.0179615642193
528.6	0.0174105439841
529.3	0.0165356933954
529.9	0.0165823181845
530.6	0.0172893195324
531.2	0.016907843985
531.9	0.0167255834457
532.5	0.0163068080669
533.2	0.0158464942397
533.8	0.0161745632105
534.4	0.0169493824335
535.1	0.0183684714699
535.8	0.0172893195324
536.4	0.0160126480337
537.1	0.0158804031773
537.7	0.0164890686063
538.4	0.0168018785551
539	0.0161559132948
539.7	0.0166535269534
540.4	0.0172867763621
541	0.0171299475259
541.7	0.0169951594992
542.3	0.0166094453346
543	0.0169917686054
543.6	0.0170909522477
544.3	0.0169036053678
545	0.0166280952502
545.6	0.0165255207141
546.3	0.0174868390936
546.9	0.0173647669184
547.6	0.0172766036808
548.3	0.0166645473581
548.9	0.0164026008155
549.6	0.0167603401066
550.2	0.017087561354
550.9	0.0180005594975
551.5	0.0177284402736
552.2	0.0169527733272
552.9	0.0167221925519
553.5	0.016768817341
554.2	0.0165653637157
554.8	0.0167594923832
555.5	0.0167094767003
556.2	0.0164865254359
556.8	0.0159812822665
557.5	0.0164941549469
558.1	0.0165238252672
558.8	0.0168052694489
559.4	0.0163280011529
560.1	0.0167959444911
560.8	0.017045175182
561.4	0.0169197121131
562.1	0.0175054890093
562.7	0.0170070276273
563.4	0.0170697591618
564.1	0.0168773259412
564.7	0.0172638878292
565.4	0.0169756618601
566	0.0163585191967
566.7	0.0165924908658
567.3	0.0173206852996
568	0.0181836677602
568.7	0.0186058340327
569.3	0.0184100099184
570	0.0183176080635
570.6	0.0171214702915
571.3	0.0170443274586
572	0.0176004340344
572.6	0.0180658342022
573.3	0.0185829454999
573.9	0.0184108576418
574.6	0.0190500411146
575.2	0.0188542170002
575.9	0.0183574510652
576.6	0.0182514856353
577.2	0.0185897272874
577.9	0.0189881573036
578.5	0.0186744996312
579.2	0.0191458338632
579.8	0.0193933691073
580.5	0.0203292557836
581.2	0.0205615320058
581.8	0.0200045777066
582.5	0.0191975449929
583.1	0.0183769487043
583.8	0.018608377203
584.5	0.0186473724812
585.1	0.0187652060392
585.8	0.0184608733247
586.4	0.0182184244212
587.1	0.0183167603401
587.8	0.0192416266117
588.4	0.019230606207
589.1	0.0185990522452
589.7	0.0178988326848
590.4	0.0179666505599
591	0.0181599315039
591.7	0.0182938718073
592.3	0.0188754100862
593	0.0187457084001
593.6	0.0185524274561
594.3	0.018345582937
594.9	0.0182608105932
595.6	0.0182684401041
596.3	0.0188135262752
596.9	0.0190542797318
597.6	0.0199384552783
598.2	0.019874028297
598.9	0.0197884082297
599.5	0.018200622229
600.2	0.0179132439833
600.8	0.0183625374058
601.5	0.0195959750091
602.1	0.0199079372346
602.8	0.0196629451608
603.5	0.0193713282979
604.1	0.0186626315031
604.8	0.0185346252639
605.4	0.0188821918737
606.1	0.0198621601689
606.7	0.0206234158168
607.4	0.0202648288023
608	0.0193874350432
608.7	0.0183472783839
609.3	0.0185015640497
610	0.0188186126158
610.6	0.019452709748
611.3	0.0190042640489
612	0.0188559124471
612.6	0.0184617210481
613.3	0.0180395547756
613.9	0.0175792409484
614.6	0.0176758814204
615.2	0.0181997745056
615.9	0.0181777336962
616.5	0.0180844841179
617.2	0.0178708578113
617.8	0.0175597433093
618.5	0.0175597433093
619.2	0.0174631028373
619.8	0.0170943431415
620.5	0.0166823495503
621.1	0.0164644846265
621.8	0.0174690369014
622.4	0.0180022549443
623.1	0.017951391538
623.7	0.0168849554521
624.4	0.0164263370718
625	0.015904987157
625.7	0.0160736841213
626.3	0.016202538084
627	0.016339869281
627.7	0.0164220984546
628.3	0.0163907326874
629	0.016409382603
629.6	0.0165373888423
630.3	0.0162169493824
630.9	0.016873087324
631.6	0.0174054576435
632.2	0.0181819723134
632.9	0.0174537778795
633.5	0.0166526792299
634.2	0.0159041394336
634.9	0.0165026321813
635.5	0.0162525537669
